id,shortName,shortName_override,isLoop,longName_en,longName_en_override,longName_ka,longName_ka_override,longName_ru_override,dest0_en,dest0_en_override,dest0_ka,dest0_ka_override,dest0_ru_override,dest1_en,dest1_en_override,dest1_ka,dest1_ka_override,dest1_ru_override,invertDirection
1:R98289,359,,,Baratashvili St - Vake-Bagebi,,ბარათაშვილის ქ. - ვაკე - ბაგები,,,Vake-Bagebi,,ვაკე-ბაგები,,,Baratashvili St,,ბარათაშვილის ქ.,,,true
1:R98294,360,,,M/S Ghrmaghele - Railway Passage Bridge,,"მ/ს ""ღრმაღელე""- გადასასვლელი ხიდი",,,Railway Bridge,,გადასასვლელი ხიდი,,,Ghrmagele M/S,,მ/ს ღრმაღელე,,,
1:R97481,361,,,Lilo-Lochini - M/S Isani,,ლილო-ლოჭინი - მ/ს ისანი,,,"""Isani"" M/S",,"მ/ს ""ისანი""",,,Lilo-Lochini,,ლილო-ლოჭინი,,,
1:R98302,362,,,"Zghvisubani M/D-3, Block-4 - Station Square",,"ზღვის უბნის III მ/რ, IV კვ - სადგურის მოედანი",,,Sea District III M/D,,"ზღვის უბნის III მ/რ, IV კვ",,,Station Square 2,,სადგურის მოედანი 2,,,
1:R30661,363,,,Village Tkhinvala - Tbilisi State University H/B,,სოფელი თხინვალი - სახ. უნივერსიტეტის მ/კ,,,State University H/B,,სახ.უნივერსიტეტის მ/კ,,,Tkhinvali Village,,სოფელი თხინვალი,,,
1:R98471,364,,,M/S Rustaveli - Mtatsminda Park,,"მ/ს ""რუსთაველი"" - მთაწმინდის პარკი",,,Mtatsminda Park,,მთაწმინდის პარკი,,,Rustaveli M/S,,მ/ს რუსთაველი,,,
1:R98216,365,,,Village Gldani - Avchala - M/S Akhmeteli Theatre,,სოფელი გლდანი - ავჭალა - მ/ს ახმეტელის თეატრი,,,Avchala - Village Gldani,,ავჭალა - სოფელი გლდანი,,,M/S Akhmeteli Theatre,,მ/ს ახმეტელის თეატრი,,,
1:R99060,366,,true,M/S Varketili - Varketili Zemo Plato,,მ/ს ვარკეთილი - ვარკეთილის ზემო პლატო,,,M/S Varketili - Varketili Zemo Plato,,მ/ს ვარკეთილი - ზემო პლატო,,,M/S Varketili,,"მ/ს ""ვარკეთილი""",,,
1:R97497,367,,,Village Dighomi - M/S Didube,,სოფ. დიღომი - მ/ს დიდუბე,,,Digomi Village,,სოფ. დიღომი,,,M/S Didube,,მ/ს დიდუბე,,,
1:R98308,368,,,9 Dzma St-Tsaishi St - Station Square,,9 ძმის ქ. -ცაიშის ქ. - სადგურის მოედანი,,,Station Square 1,,სადგურის მოედანი 1,,,Tsaishi St,,ცაიშის ქ.,,,
1:R98481,369,,,M/S Didube (Upper Exit) - M/S Gotsiridze,,მ/ს დიდუბე (ზედა) - მ/ს გოცირიძე,,,M/S Gotsiridze,,მ/ს გოცირიძე,,,M/S Didube (Upper Exit),,მ/ს დიდუბე (ზედა),,,
1:R98313,370,,true,Bichvinta St (Avchala) - Pirosmani Square,,ბიჭვინთის ქ. (ავჭალა) - ფიროსმანის მოედანი,,,Pirosmani Square - Avchala,,ფიროსმანის მ-ავჭალა,,,Kvemo Avchala,,ქვემო ავჭალა,,,
1:R98318,371,,,Varketili-3 IV M/D - Baratashvili St,,ვარკეთილი-3 IV მ/რ - ბარათაშვილის ქ.,,,Varketili IV M/D,,ვარკეთილი 3 IV მ/რ,,,Baratashvili St,,ბარათაშვილის ქ.,,,
1:R98323,372,,,Nakaduli St - Saint Barbare District,,ნაკადულის ქ . - წმინდა ბარბარეს უბანი,,,Nakaduli St,Nakaduli St.,ნაკადულის ქ.,,,Saint Barbare District,,წმინდა ბარბარეს უბანი,,,
1:R98328,373,,,Gldanula - M/S Akhmeteli Theatre,,გლდანულა - მ/ს ახმეტელის თეატრი,,,Gldanula,,გლდანულა,,,M/S Akhmeteli Theatre,,მ/ს ახმეტელის თეატრი,,,
1:R98438,374,,,Tabakhmela - Baratashvili St,,ტაბახმელა - ბარათაშვილის ქ.,,,Baratashvili St,,ბარათაშვილის ქ.,,,Tabakhmela,,ტაბახმელა,,,
1:R98334,375,,,"Zghvisubani M/D-3, Block-4 - M/S Sarajishvili",,"ზღვის უბნის III მ/რ, IV კვ - მ/ს ""სარაჯიშვილი""",,,Sea District III M/D,,"ზღვის უბნის III მ/რ, IV კვ",,,Sarajishvili M/S,,მ/ს სარაჯიშვილი,,,
1:R97682,376,,,Afrika Stlmt. (Kiziki St) - M/S Isani,,აფრიკის დას. (ქიზიყის ქ.) - მ/ს ისანი,,,"""Isani"" M/S",,"მ/ს ""ისანი""",,,Kiziki St,,ქიზიყის ქ.,,,
1:R74912,377,,true,"Tbilisi Sea Plaza - Vazisubani M/D-3, BL-2 - M/S Varketili",,"თბილისის ზღვის პლაზა - ვაზისუბნის III მ/რ, II კვ.- მ/ს ვარკეთილი",,,M/S Varketili - Sea Plaza,,მ/ს ვარკეთილი-ზღვის პლაზა,,,Tbilisi Sea Plaza,,თბილისის ზღვის პლაზა,,,
1:R98340,378,,,Japaridze Street - Station Square 1,,ჯაფარიძის ქუჩა - სადგურის მოედანი 1,,,Japaridze Street,,ჯაფარიძის ქუჩა,,,Station Square 1,,სადგურის მოედანი 1,,,
1:R98346,379,,,Mukhiani M/D-3 - M/S Akhmeteli Theatre,,მუხიანის III მ/რ - მ/ს ახმეტელის თეატრი,,,Mukhiani III M/D,,მუხიანის III მ/რ,,,M/S Akhmeteli Theatre,,მ/ს ახმეტელის თეატრი,,,
1:R97505,380,,,Kojori - Baratashvili St,,კოჯორი - ბარათაშვილის ქ.,,,Kojori,,კოჯორი,,,Baratashvili St,,ბარათაშვილის ქ.,,,
1:R97509,381,,,Zahesi - Station Square,,ზაჰესი - სადგურის მოედანი,,,Station Square 1,,სადგურის მოედანი 1,,,Zahesi,,ზაჰესი,,,
1:R98458,382,,,Shindisi - Baratashvili St,,შინდისი - ბარათაშვილის ქ.,,,Baratashvili St,,ბარათაშვილის ქ.,,,Shindisi,,შინდისი,,,
