id,name_en,name_en_override,name_ka,name_ka_override,name_ru_override,lat,lat_override,lon,lon_override,rotation,rotation_override,mergeParent,hubTarget,vehicleMode_override,provider_override,gondolaInfo_override
1:20083,Revaz Bebia Street,,რევაზ ბებიას ქუჩა,,,41.685887,,44.938746,,312,,,,,,
1:20084,"Airport Settlement, Vera Bardavelidze Street",,"აეროპორტის დასახლება, ვერა ბარდაველიძის ქუჩა",,,41.686698,,44.948976,,272,,,,,,
1:20085,"Airport Settlement, Lui Bleroi St #38",,"აეროპორტის დასახლება, ლუი ბლეროის ქუჩა #38",,,41.685517,,44.947586,,179,,,,,,
1:20086,Nikoloz Makashvili Street,,ნიკოლოზ მაყაშვილის ქუჩა,,,41.685044,,44.94035,,301,,,,,,
1:20087,Izani Tsertsvadze Street #32,,იზანი ცერცვაძის ქუჩა #32,,,41.684206,,44.941887,,311,,,,,,
1:20088,"Besarion Keburia Settl, Iakob Khvedeliani St #25",,"ბესარიონ ქებურიას დასახლება, იაკობ ხვედელიანის ქუჩა #25",,,41.684593,,44.943582,,231,,,,,,
1:20089,Besarion Keburia Settl Iakob Khvedeliani St #5,,"ბესარიონ ქებურიას დასახლება, იაკობ ხვედელიანის ქუჩა #5",,,41.686103,,44.945406,,201,,,,,,
1:20090,"Airport Settlement, Jimsher Maisuradze Street",,"აეროპორტის დასახლება, ჯიმშერ მაისურაძის ქუჩა",,,41.686059,,44.952653,,356,,,,,,
1:20091,Nina Khubulava Street,,ნინა ხუბულავას ქუჩა,,,41.686598,,44.93718,,314,,,,,,
1:20092,"Besarion Keburia Settl, Rusudan Jordania Street #10",,"ბესარიონ ქებურიას დასახლება, რუსუდან ჟორდანიას ქუჩა #10",,,41.6866,,44.936016,,191,,,,,,
1:20093,"Besarion Keburia Settl, Rusudan Jordania Street #34",,"ბესარიონ ქებურიას დასახლება, რუსუდან ჟორდანიას ქუჩა #34",,,41.684775,,44.935606,,181,,,,,,
1:20094,"Besarion Keburia Settl, Rusudan Jordania Street #54a",,"ბესარიონ ქებურიას დასახლება, რუსუდან ჟორდანიას ქუჩა #54ა",,,41.682899,,44.935514,,184,,,,,,
1:20095,Besarion Keburia Settl Mikheil Grigorashvili St #5,,"ბესარიონ ქებურიას დასახლება, მიხეილ გრიგორაშვილის ქუჩა #5",,,41.68522,,44.934736,,9,,,,,,
1:20096,"Besarion Keburia Settl, Mikheil Grigorashvili Street",,"ბესარიონ ქებურიას დასახლება, მიხეილ გრიგორაშვილის ქუჩა",,,41.68497,,44.934608,,190,,,,,,
1:20097,"Besarion Keburia Settl, Rusudan Jordania Street #54a",,"ბესარიონ ქებურიას დასახლება, რუსუდან ჟორდანიას ქუჩა #54ა",,,41.682933,,44.935587,,4,,,,,,
1:20098,"Besarion Keburia Settl, Rusudan Jordania Street #34",,"ბესარიონ ქებურიას დასახლება, რუსუდან ჟორდანიას ქუჩა #34",,,41.684804,,44.935675,,0,,,,,,
1:20099,"Besarion Keburia Settl, Rusudan Jordania Street #10",,"ბესარიონ ქებურიას დასახლება, რუსუდან ჟორდანიას ქუჩა #10",,,41.686716,,44.936115,,20,,,,,,
1:20100,Nina Khubulava Street,,ნინა ხუბულავას ქუჩა,,,41.686458,,44.937177,,149,,,,,,
1:20101,Revaz Bebia Street,,რევაზ ბებიას ქუჩა,,,41.685621,,44.938977,,132,,,,,,
1:20102,Nikoloz Makashvili Street,,ნიკოლოზ მაყაშვილის ქუჩა,,,41.684897,,44.94046,,122,,,,,,
1:20103,Izani Tsertsvadze Street #39,,იზანი ცერცვაძის ქუჩა #39,,,41.684038,,44.941968,,129,,,,,,
1:20104,Besarion Keburia Settl Iakob Khvedeliani St #30,,"ბესარიონ ქებურიას დასახლება, იაკობ ხვედელიანის ქუჩა #30",,,41.684621,,44.943797,,48,,,,,,
1:20105,Besarion Keburia Settl Iakob Khvedeliani St #8,,"ბესარიონ ქებურიას დასახლება, იაკობ ხვედელიანის ქუჩა #8",,,41.686143,,44.945548,,20,,,,,,
1:20106,"Airport Settlement, Vera Bardavelidze Street",,"აეროპორტის დასახლება, ვერა ბარდაველიძის ქუჩა",,,41.68661,,44.949128,,93,,,,,,
1:20108,"Airport Settlement, Shalva Chankotadze Street",,"აეროპორტის დასახლება, შალვა ჭანკოტაძის ქუჩა",,,41.683327,,44.952782,,175,,,,,,
1:20109,P. Mosulishvili Street 27 (Opposite),,ფ. მოსულიშვილის ქუჩა 27-ის მოპირდაპირედ,,,41.795463,,44.813153,,123,,,,,,
1:20110,მცხეთის ქუჩა #2-ის მიმდებარედ,,მცხეთის ქუჩა #2-ის მიმდებარედ,,,41.706983,41.70697,44.774904,44.7749,92,,,,,,
1:20116,Metro Station Akhmeteli Theatre,,"მ/ს ""ახმეტელის თეატრი""",,,41.792416,,44.816072,,308,,,,,,
1:20117,დავით იოსელიანის #204,,დავით იოსელიანის #204,,,41.741829,,44.816254,,245,,,,,,
1:20118,სადგური ველი,,სადგური ველი,,,41.643305,,44.947738,,7,,,,,,
1:20121,ფალიაშვილის ქუჩა #11ა,,ფალიაშვილის ქუჩა #11ა,,,41.708172,,44.775255,,264,,,,,,
1:20123,დავით აღმაშენებლის #100,,დავით აღმაშენებლის #100,,,41.800085,,44.860862,,301,,,,,,
1:20131,Metro Station Akhmeteli Theatre,,"მ/ს ""ახმეტელის თეატრი""",,,41.792343,,44.816216,,305,,,,,,
1:20134,იოსელიანის IV შესახვევი,,იოსელიანის IV შესახვევი,,,41.720027,,44.701352,,352,,,,,,
1:20137,ყიფშიძის 8-10-ის მიმდებარედ,,ყიფშიძის 8-10-ის მიმდებარედ,,,41.714175,,44.75956,,322,,,,,,
1:20140,ნაფეტვრებისკენ მიმავალი გზა (კლუბამდე),,ნაფეტვრებისკენ მიმავალი გზა (კლუბამდე),,,41.718135,,44.696316,,174,,,,,,
1:20144,აბულაძის და დელისის ქუჩების კვეთა,,აბულაძის და დელისის ქუჩების კვეთა,,,41.73233,,44.747164,,260,,,,,,
1:20146,სადგურის მოედანი (მიკროავტობუსები),Station Square (minibuses),სადგურის მოედანი (მიკროავტობუსები),სადგურის ��ოედანი (მიკროავტობუსები),,41.722384,,44.796946,,243,,,,,,
1:20147,მთაწმინდის ქ. #2,,მთაწმინდის ქ. #2,,,41.696457,41.69645,44.793258,44.7933,10,,,,,,
1:20148,ჯავახიშვილის #69,,ჯავახიშვილის #69,,,41.711185,,44.800602,,335,,,,,,
1:20149,ლ. ბილფელდის ქ.,,ლ. ბილფელდის ქ.,,,41.714064,,44.753856,,17,,,,,,
1:20150,მშვიდობის ქ. #16,,მშვიდობის ქ. #16,,,41.83139,,44.760783,,177,,,,,,
1:20154,სოფ. აგარაკები,,სოფ. აგარაკები,,,41.736705,,44.690033,,276,,,,,,
1:20157,ე. მცხეთელის ქ.,,ე. მცხეთელის ქ.,,,41.640517,,44.908526,,102,,,,,,
1:20164,გადასასავლელი ხიდი,Railway Passage Bridge,გადასასავლელი ხიდი,,,41.724149,,44.79964,,65,,,,,,
1:20167,ლერი ლაგურაშვილის ქ. #5,,ლერი ლაგურაშვილის ქ. #5,,,41.784447,,44.814564,,209,,,,,,
1:20172,ავშნის ქ. III შესახვევი,,ავშნის ქ. III შესახვევი,,,41.775375,,44.835591,,172,,,,,,
1:20174,გომარეთის ქუჩა მოპირდაპირე,,გომარეთის ქუჩა მოპირდაპირე,,,41.734397,,44.803522,,152,,,,,,
1:20184,"გლდანის VIII მ/რ, კორპ. 11",,"გლდანის VIII მ/რ, კორპ. 11",,,41.807207,,44.829219,,203,,,,,,
1:20187,ისთ ფოინთი (მიკროავტობუსები),,ისთ ფოინთი (მიკროავტობუსები),,,41.690372,,44.895447,,184,,,,,,
1:20188,"ზღვის უბნის IV მ/რ, კორპუსი #4-ის მიმდებარედ",,"ზღვის უბნის IV მ/რ, კორპუსი #4-ის მიმდებარედ",,,41.785803,,44.805357,,121,,,,,,
1:20191,წინამძღვრიშვილის ქ. 137 მიმდებარედ,,წინამძღვრიშვილის ქ. 137 მიმდებარედ,,,41.721255,41.7213,44.792675,44.79271,329,,,,,,
1:20192,თიანეთის #65-ის მიმდებარედ,,თიანეთის #65-ის მიმდებარედ,,,41.767691,,44.801588,,306,,,,,,
1:20194,მუხრანის #78 მიმდებარედ,,მუხრანის #78 მიმდებარედ,,,41.761111,,44.802563,,24,,,,,,
1:20197,ნიაბის ქ. (#55-ის მიმდებარედ),,ნიაბის ქ. (#55-ის მიმდებარედ),,,41.702245,,44.826973,,325,,,,,,
1:20198,ახალუბნის ქ. #9,,ახალუბნის ქ. #9,,,41.701049,,44.81824,,35,,,,,,
1:20203,რეზო ინანიშვილის #20,,რეზო ინანიშვილის #20,,,41.727131,,44.805854,,181,,,,,,
1:20206,ბობ უოლშის ქ. (კორპუსებთან),,ბობ უოლშის ქ. (კორპუსებთან),,,41.797346,,44.781723,,346,,,,,,
1:20207,თენგიზ სტურუას ქ. #2,,თენგიზ სტურუას ქ. #2,,,41.680921,,44.981213,,121,,,,,,
1:20209,ნიკოლოზ ლანდიას ქ. #21,,ნიკოლოზ ლანდიას ქ. #21,,,41.703647,,44.884255,,251,,,,,,
1:20212,მუჯირიშვილის ქ. #55 მოპირდაპირედ,,მუჯირიშვილის ქ. #55 მოპირდაპირედ,,,41.702798,,44.82485,,27,,,,,,
1:20213,"ვარკეთილი, მეორე რიგი",,"ვარკეთილი, მეორე რიგი",,,41.698844,,44.865406,,172,,,,,,
1:20216,"Airport Settlement, Lui Bleroi St #44",,"აეროპორტის დასახლება, ლუი ბლეროის ქუჩა #44",,,41.684497,,44.947702,,360,,,,,,
1:20217,"Airport Settlement, Lui Bleroi St #130",,"აეროპორტის დასახლება, ლუი ბლეროის ქუჩა #130",,,41.685885,,44.947689,,359,,,,,,
1:20218,სამღერეთის ქუჩა  #26,,სამღერეთის ქუჩა  #26,,,41.732617,,44.823372,,270,,,,,,
1:20222,"ვეძისი, ვარდენ წულუკიძის ქუჩა #4",,"ვეძისი, ვარდენ წულუკიძის ქუჩა #4",,,41.737137,,44.766398,,36,,,,,,
1:20224,გედევანიშვილის ქ.#27,,გედევანიშვილის ქ.#27,,,41.705236,,44.812562,,305,,,,,,
1:20225,სავაჭრო ცენტრი თბილისი მოლი,,სავაჭრო ცენტრი თბილისი მოლი,,,41.815284,,44.772082,,95,,,,,,
1:20226,M/S Isani,,"მ/ს ""ისანი""",,,41.687227,41.68722,44.841307,44.84139,179,,,,,,
1:20228,"გლდანის VII მ/რ, კორპ. 24",,"გლდანის VII მ/რ, კორპ. 24",,,41.807483,,44.834065,,104,,,,,,
1:20229,"გლდანის VI მ/რ, კონსტანტინე ლესელიძის ქ.",,"გლდანის VI მ/რ, კონსტანტინე ლესელიძის ქ.",,,41.804346,,44.828172,,137,,,,,,
1:20230,"გლდანი IV მ/რ, კორპ #105",,"გლდანი IV მ/რ, კორპ #105",,,41.802325,,44.821427,,31,,,,,,
1:20235,კონსტანტინე ჩაჩავას ქ. #1,,კონსტანტინე ჩაჩავას ქ. #1,,,41.775602,,44.777436,,225,,,,,,
1:20236,"ზღვის უბნის, IV მ/რ,კორპ. 10",,"ზღვის უბნის, IV მ/რ,კორპ. 10",,,41.781849,,44.812825,,70,,,,,,
1:20237,გეგეშიძის ბაღი (ზაქარია ფალიაშვილის ქ. #33ა მოპირდაპირედ),,გეგეშიძის ბაღი (ზაქარია ფალიაშვილის ქ. #33ა მოპირდაპირედ),,,41.708376,41.708496,44.769333,44.769232,281,,,,,,
1:20238,პირიმზე (ნატო ვაჩნაძისა და გიორგი შენგელაიას ქ.),,პირიმზე (ნატო ვაჩნაძისა და გიორგი შენგელაიას ქ.),,,41.696547,,44.802893,,152,,,,,,
