id,name_en,name_en_override,name_ka,name_ka_override,name_ru_override,lat,lat_override,lon,lon_override,rotation,rotation_override,mergeParent,hubTarget
1:1641,Libani Street #37,Libani Street #37,ლიბანის ქუჩა #37,ლიბანის ქუჩა #37,,41.822972,41.822972,44.79149,44.79149,149,,,
1:1642,Public School #118,Public School #118,#118-ე საჯარო სკოლა,#118-ე საჯარო სკოლა,,41.819464,41.819464,44.794422,44.794422,144,,,
1:1643,Gagra Street,Gagra Street,გაგრის ქუჩა,გაგრის ქუჩა,,41.817373,41.817373,44.795659,44.795659,164,,,
1:1644,Kindergarten #54,Kindergarten #54,#54-ე ბაგა-ბაღი,#54-ე ბაგა-ბაღი,,41.815302,41.815302,44.79667,44.79667,158,,,
1:1645,Moris Potskhishvili Street,Moris Potskhishvili Street,მორის ფოცხიშვილის ქუჩა,მორის ფოცხიშვილის ქუჩა,,41.811412,41.811412,44.79863,44.79863,157,,,
1:1646,Bus Repair Depot,Bus Repair Depot,ავტობუსების სარემონტო ბაზა,ავტობუსების სარემონტო ბაზა,,41.80716,41.80716,44.799678,44.799678,183,,,
1:1647,Gldanula Bridge,Gldanula Bridge,გლდანულის ხიდი,გლდანულის ხიდი,,41.804426,41.804426,44.799628,44.799628,189,,,
1:1648,Gela Chedia Street,Gela Chedia Street,გელა ჭედიას ქუჩა,გელა ჭედიას ქუჩა,,41.801779,41.801779,44.798223,44.798223,194,,,
1:1649,Davit Sarajishvili St #12,Davit Sarajishvili St #12,დავით სარაჯიშვილის ქუჩა #12,დავით სარაჯიშვილის ქუჩა #12,,41.798947,41.798947,44.798963,44.798963,154,,,
1:1650,Davit Sarajishvili St #6,Davit Sarajishvili St #6,დავით სარაჯიშვილის ქუჩა #6,დავით სარაჯიშვილის ქუჩა #6,,41.795714,41.795714,44.800477,44.800477,173,,,
1:1651,Davit Sarajishvili St #11,Davit Sarajishvili St #11,დავით სარაჯიშვილის ქუჩა #11,დავით სარაჯიშვილის ქუჩა #11,,41.793699,41.793699,44.800571,44.800571,175,,,
1:1653,Gldani District Administration,Gldani District Administration,გლდანის რაიონის გამგეობა,გლდანის რაიონის გამგეობა,,41.788121,41.788121,44.800344,44.800344,194,,,
1:1658,Vakhtang Gorgasali St #93,Vakhtang Gorgasali St #93,ვახტანგ გორგასლის ქუჩა #93,ვახტანგ გორგასლის ქუჩა #93,,41.672261,41.672261,44.834781,44.834781,121,,,
1:1659,Vakhtang Gorgasali St #101,Vakhtang Gorgasali St #101,ვახტანგ გორგასლის ქუჩა #101,ვახტანგ გორგასლის ქუჩა #101,,41.671614,41.671614,44.836632,44.836632,102,,,
1:1660,Vakhtang Gorgasali St #111,Vakhtang Gorgasali St #111,ვახტანგ გორგასლის ქუჩა #111,ვახტანგ გორგასლის ქუჩა #111,,41.670858,41.670858,44.843067,44.843067,96,,,
1:1661,Vakhtang Gorgasali St #113,Vakhtang Gorgasali St #113,ვახტანგ გორგასლის ქუჩა #113,ვახტანგ გორგასლის ქუჩა #113,,41.670494,41.670494,44.846084,44.846084,114,,,
1:1662,Vakhtang Gorgasali St #115,Vakhtang Gorgasali St #115,ვახტანგ გორგასლის ქუჩა #115,ვახტანგ გორგასლის ქუჩა #115,,41.670045,41.670045,44.85151,44.85151,103,,,
1:1663,Vakhtang Gorgasali St #52,Vakhtang Gorgasali St #52,ვახტანგ გორგასლის ქუჩა #52,ვახტანგ გორგასლის ქუჩა #52,,41.666368,41.666368,44.867649,44.867649,300,,,
1:1665,"Ponichala, Railway Bridge","Ponichala, Railway Bridge","ფონიჭალა, რკინიგზის ხიდი","ფონიჭალა, რკინიგზის ხიდი",,123,41.659437,44.891827,44.891827,0,,,
1:1666,Public School #127,Public School #127,#127-ე საჯარო სკოლა,#127-ე საჯარო სკოლა,,41.657657,41.657657,44.895313,44.895313,125,,,
1:1667,Rustavi Highway #115,Rustavi Highway #115,რუსთავის გზატკეცილი #115,რუსთავის გზატკეცილი #115,,41.65578,41.65578,44.898867,44.898867,126,,,
1:1668,Rustavi Highway #177,Rustavi Highway #177,რუსთავის გზატკეცილი #177,რუსთავის გზატკეცილი #177,,41.654295,41.654295,44.901617,44.901617,125,,,
1:1669,Grigol Gulbani Street,Grigol Gulbani Street,გრიგოლ გულბანის ქუჩა,გრიგოლ გულბანის ქუჩა,,41.633166,41.633166,44.918793,44.918793,154,,,
1:1670,Kelasauri Street,Kelasauri Street,კელასურის ქუჩა,კელასურის ქუჩა,,41.633708,41.633708,44.919078,44.919078,336,,,
1:1672,Bedia Street,Bedia Street,ბედიას ქუჩა,ბედიას ქუჩა,,41.636687,41.636687,44.91712,44.91712,334,,,
1:1676,Kvemo Ponichala Center,Kvemo Ponichala Center,ქვემო ფონიჭალის ცენტრი,ქვემო ფონიჭალის ცენტრი,,41.644779,41.644779,44.911761,44.911761,335,,,
1:1687,Kvemo Ponichala Center,Kvemo Ponichala Center,ქვემო ფონიჭალის ცენტრი,ქვემო ფონიჭალის ცენტრი,,41.644839,41.644839,44.911589,44.911589,151,,,
1:1688,Marneuli Street,Marneuli Street,მარნეულის ქუჩა,მარნეულის ქუჩა,,41.647416,41.647416,44.909902,44.909902,156,,,
1:1689,Marneuli Street,Marneuli Street,მარნეულის ქუჩა,მარნეულის ქუჩა,,41.64702,41.64702,44.910285,44.910285,333,,,
1:1690,Rustavi Highway #34,Rustavi Highway #34,რუსთავის გზატკეცილი #34,რუსთავის გზატკეცილი #34,,41.650393,41.650393,44.907845,44.907845,329,,,
1:1691,Rustavi Highway #22,Rustavi Highway #22,რუსთავის გზატკეცილი #22,რუსთავის გზატკეცილი #22,,41.654405,41.654405,44.901609,44.901609,306,,,
